id,track_id,source,source_url,source_track_id,bpm,musical_key,camelot_key,genre,label,release_title,release_date,confidence,raw_json,fetched_at
73,3379,beatport,https://www.beatport.com/track/uptown-jam/28536953,28536953,128,D Minor,7A,House,Edible,,2026-05-15,manual-search-result,"{""url"": ""https://www.beatport.com/track/uptown-jam/28536953"", ""title"": ""Uptown Jam Extended Mix"", ""rowText"": ""Uptown Jam Extended Mix Jude & Frank Edible House 128 BPM - D Minor 2026-05-15 $1.69""}",2026-05-29T16:57:53.571654+00:00
96,3393,beatport,https://www.beatport.com/track/yaou/28363312,28363312,128,A Minor,8A,Tech House,303Lovers,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/yaou/28363312"", ""title"": ""Yaou Extended Mix"", ""rowText"": ""Yaou Extended Mix Santy Perizzotti 303Lovers Tech House 128 BPM - A Minor 2026-05-01 $1.69""}",2026-06-03T20:10:14.529697+00:00
97,3394,beatport,https://www.beatport.com/track/faded-/28444585,28444585,127,Eb Minor,2A,Tech House,Issues,,2026-04-24,manual-search-result,"{""url"": ""https://www.beatport.com/track/faded-/28444585"", ""title"": ""FADED Original Mix"", ""rowText"": ""FADED Original Mix Detlef Issues Tech House 127 BPM - Eb Minor 2026-04-24 $1.69""}",2026-06-03T20:10:51.137614+00:00
98,3395,beatport,https://www.beatport.com/track/trajado-/28395785,28395785,128,Gb Minor,11A,Bass House,Black Book Records,,2026-04-24,manual-search-result,"{""url"": ""https://www.beatport.com/track/trajado-/28395785"", ""title"": ""Trajadão Extended Mix"", ""rowText"": ""Trajadão Extended Mix Volkoder Black Book Records Bass House 128 BPM - Gb Minor 2026-04-24 $1.69""}",2026-06-03T20:11:27.282513+00:00
99,3396,beatport,https://www.beatport.com/track/strap-it/28392346,28392346,128,B Minor,10A,Tech House,Aura Records Music,,2026-05-04,manual-search-result,"{""url"": ""https://www.beatport.com/track/strap-it/28392346"", ""title"": ""Strap It Extended Mix"", ""rowText"": ""Strap It Extended Mix iUrseless Aura Records Music Tech House 128 BPM - B Minor 2026-05-04 $1.69""}",2026-06-03T20:12:04.820978+00:00
100,3397,beatport,https://www.beatport.com/track/leakin/28400316,28400316,130,Gb Major,2B,Tech House,The Anchor Records,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/leakin/28400316"", ""title"": ""Leakin Original Mix"", ""rowText"": ""Leakin Original Mix Protek The Anchor Records Tech House 130 BPM - Gb Major 2026-05-01 $1.69""}",2026-06-03T20:12:41.493128+00:00
101,3398,beatport,https://www.beatport.com/track/renegade/28349028,28349028,128,D Major,10B,Mainstage,Artnova,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/renegade/28349028"", ""title"": ""Renegade Extended Mix"", ""rowText"": ""Renegade Extended Mix Who Else Artnova Mainstage 128 BPM - D Major 2026-05-01 $1.69""}",2026-06-03T20:13:52.586768+00:00
102,3399,beatport,https://www.beatport.com/track/we-go-left-to-right-extended-mix/28383225,28383225,132,D Major,10B,Bass House,dFunk Records,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/we-go-left-to-right-extended-mix/28383225"", ""title"": ""We Go (Left To Right) (Extended Mix) Left To Right"", ""rowText"": ""We Go (Left To Right) (Extended Mix) Left To Right AANSE dFunk Records Bass House 132 BPM - D Major 2026-05-08 $1.69""}",2026-06-03T20:14:28.494603+00:00
103,3400,beatport,https://www.beatport.com/track/dimension/28765001,28765001,129,Eb Major,5B,Tech House,Sound Metrica Records,,2026-05-01,manual-search-result,"{""url"": ""https://www.beatport.com/track/dimension/28765001"", ""title"": ""Dimension Original Mix"", ""rowText"": ""Dimension Original Mix NVKY Sound Metrica Records Tech House 129 BPM - Eb Major 2026-05-01 $1.69""}",2026-06-03T20:15:04.410027+00:00
104,3401,beatport,https://www.beatport.com/track/loco/28883989,28883989,130,E Minor,9A,Tech House,COSYREX,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/loco/28883989"", ""title"": ""Loco Instrumental Mix"", ""rowText"": ""Loco Instrumental Mix GetCosy COSYREX Tech House 130 BPM - E Minor 2026-05-08 $1.69""}",2026-06-03T20:15:39.550939+00:00
